trip_nb,local_dtm,latitude,longitude
1,19MAY17:07:33:59,40.037952,-83.071342
1,19MAY17:07:34:01,40.038181,-83.071274
1,19MAY17:07:34:02,40.038349,-83.071304
1,19MAY17:07:34:03,40.038448,-83.071266
1,19MAY17:07:34:04,40.038551,-83.071236
1,19MAY17:07:34:06,40.038795,-83.071243
1,19MAY17:07:34:07,40.038895,-83.071236
1,19MAY17:07:34:08,40.039013,-83.071213
1,19MAY17:07:34:09,40.039116,-83.071205
1,19MAY17:07:34:10,40.03923,-83.07119
1,19MAY17:07:34:12,40.03941,-83.071152
1,19MAY17:07:34:13,40.039547,-83.071152
1,19MAY17:07:34:14,40.039646,-83.071136
1,19MAY17:07:34:15,40.039776,-83.071129
1,19MAY17:07:34:16,40.039909,-83.071098
1,19MAY17:07:34:17,40.040005,-83.071098
1,19MAY17:07:34:18,40.040131,-83.071098
1,19MAY17:07:34:19,40.040249,-83.071083
1,19MAY17:07:34:20,40.040352,-83.071075
1,19MAY17:07:34:21,40.040405,-83.071053
1,19MAY17:07:34:23,40.040588,-83.071075
1,19MAY17:07:34:24,40.0406,-83.071106
1,19MAY17:07:34:25,40.04063,-83.071091
1,19MAY17:07:34:26,40.040592,-83.071068
1,19MAY17:07:34:28,40.040615,-83.071106
1,19MAY17:07:34:29,40.040653,-83.071136
1,19MAY17:07:34:30,40.040661,-83.071129
1,19MAY17:07:34:31,40.040703,-83.071175
1,19MAY17:07:34:32,40.040722,-83.071182
1,19MAY17:07:34:33,40.040695,-83.071175
1,19MAY17:07:34:34,40.040699,-83.071175
1,19MAY17:07:34:35,40.040726,-83.071152
1,19MAY17:07:34:37,40.040787,-83.071182
1,19MAY17:07:34:38,40.040802,-83.071198
1,19MAY17:07:34:39,40.040802,-83.071205
1,19MAY17:07:34:40,40.040802,-83.071213
1,19MAY17:07:34:41,40.040798,-83.071213
1,19MAY17:07:34:42,40.04081,-83.07122
1,19MAY17:07:34:43,40.04081,-83.071213
1,19MAY17:07:34:44,40.040817,-83.071213
1,19MAY17:07:34:46,40.040821,-83.07119
1,19MAY17:07:34:47,40.040825,-83.071182
1,19MAY17:07:34:48,40.040833,-83.071167
1,19MAY17:07:34:49,40.04084,-83.071167
1,19MAY17:07:34:50,40.04084,-83.071175
1,19MAY17:07:34:51,40.040833,-83.071175
1,19MAY17:07:34:53,40.040791,-83.071167
1,19MAY17:07:34:54,40.040771,-83.071182
1,19MAY17:07:34:55,40.040764,-83.071182
1,19MAY17:07:34:56,40.040764,-83.071213
1,19MAY17:07:34:57,40.040771,-83.071259
1,19MAY17:07:34:58,40.040779,-83.07132
1,19MAY17:07:34:59,40.040928,-83.071526
1,19MAY17:07:35:01,40.040958,-83.071823
1,19MAY17:07:35:03,40.040936,-83.07209
1,19MAY17:07:35:04,40.040901,-83.072227
1,19MAY17:07:35:05,40.040871,-83.07238
1,19MAY17:07:35:06,40.040871,-83.07254
1,19MAY17:07:35:07,40.040882,-83.072678
1,19MAY17:07:35:08,40.040882,-83.07283
1,19MAY17:07:35:09,40.040878,-83.072998
1,19MAY17:07:35:10,40.040871,-83.073158
1,19MAY17:07:35:11,40.040878,-83.073303
1,19MAY17:07:35:12,40.040894,-83.073479
1,19MAY17:07:35:13,40.040905,-83.073647
1,19MAY17:07:35:14,40.040916,-83.073814
1,19MAY17:07:35:16,40.040916,-83.074127
1,19MAY17:07:35:17,40.040932,-83.07428
1,19MAY17:07:35:18,40.040943,-83.074402
1,19MAY17:07:35:19,40.040962,-83.07457
1,19MAY17:07:35:20,40.040943,-83.074715
1,19MAY17:07:35:22,40.040951,-83.074951
1,19MAY17:07:35:23,40.040932,-83.075035
1,19MAY17:07:35:24,40.040932,-83.075119
1,19MAY17:07:35:25,40.040936,-83.075203
1,19MAY17:07:35:26,40.040932,-83.075279
1,19MAY17:07:35:27,40.04097,-83.07531
1,19MAY17:07:35:29,40.041042,-83.07531
1,19MAY17:07:35:30,40.041119,-83.075249
1,19MAY17:07:35:31,40.04121,-83.075172
1,19MAY17:07:35:32,40.041229,-83.075111
1,19MAY17:07:35:33,40.041328,-83.075035
1,19MAY17:07:35:34,40.041389,-83.074944
1,19MAY17:07:35:35,40.041443,-83.074867
1,19MAY17:07:35:36,40.041477,-83.074791
1,19MAY17:07:35:38,40.041584,-83.074532
1,19MAY17:07:35:39,40.041626,-83.074455
1,19MAY17:07:35:40,40.041721,-83.074394
1,19MAY17:07:35:41,40.041805,-83.074341
1,19MAY17:07:35:43,40.041935,-83.074265
1,19MAY17:07:35:44,40.042004,-83.074242
1,19MAY17:07:35:45,40.042068,-83.074211
1,19MAY17:07:35:46,40.042141,-83.074181
1,19MAY17:07:35:47,40.04224,-83.074165
1,19MAY17:07:35:48,40.042328,-83.07415
1,19MAY17:07:35:49,40.042442,-83.074135
1,19MAY17:07:35:50,40.042534,-83.074135
1,19MAY17:07:35:51,40.042664,-83.074112
1,19MAY17:07:35:52,40.042763,-83.074059
1,19MAY17:07:35:53,40.042885,-83.074081
1,19MAY17:07:35:54,40.04303,-83.074081
1,19MAY17:07:35:55,40.043171,-83.074089
1,19MAY17:07:35:56,40.043304,-83.074089
1,19MAY17:07:35:57,40.043419,-83.074066
1,19MAY17:07:35:58,40.043503,-83.074028
1,19MAY17:07:36:00,40.043755,-83.074051
1,19MAY17:07:36:01,40.043865,-83.074043
1,19MAY17:07:36:03,40.044117,-83.074059
1,19MAY17:07:36:05,40.0443,-83.074043
1,19MAY17:07:36:06,40.044384,-83.07402
1,19MAY17:07:36:07,40.044479,-83.073959
1,19MAY17:07:36:08,40.044556,-83.073906
1,19MAY17:07:36:09,40.044636,-83.073853
1,19MAY17:07:36:10,40.044712,-83.073792
1,19MAY17:07:36:11,40.044807,-83.073769
1,19MAY17:07:36:12,40.044907,-83.07373
1,19MAY17:07:36:13,40.045013,-83.073708
1,19MAY17:07:36:14,40.045135,-83.0737
1,19MAY17:07:36:15,40.045246,-83.073677
1,19MAY17:07:36:16,40.045372,-83.073677
1,19MAY17:07:36:17,40.04549,-83.073669
1,19MAY17:07:36:18,40.045601,-83.073662
1,19MAY17:07:36:19,40.045715,-83.073654
1,19MAY17:07:36:20,40.045803,-83.073624
1,19MAY17:07:36:22,40.046021,-83.073593
1,19MAY17:07:36:23,40.046127,-83.073593
1,19MAY17:07:36:24,40.046242,-83.073593
1,19MAY17:07:36:25,40.046356,-83.073593
1,19MAY17:07:36:26,40.046478,-83.073593
1,19MAY17:07:36:27,40.046574,-83.073563
1,19MAY17:07:36:28,40.046658,-83.073555
1,19MAY17:07:36:29,40.046719,-83.073532
1,19MAY17:07:36:30,40.046803,-83.07354
1,19MAY17:07:36:31,40.046864,-83.073532
1,19MAY17:07:36:32,40.046932,-83.073509
1,19MAY17:07:36:33,40.046947,-83.073509
1,19MAY17:07:36:34,40.046978,-83.073494
1,19MAY17:07:36:35,40.047009,-83.073524
1,19MAY17:07:36:36,40.047039,-83.07354
1,19MAY17:07:36:37,40.047062,-83.073555
1,19MAY17:07:36:38,40.047089,-83.073555
1,19MAY17:07:36:39,40.047077,-83.07354
1,19MAY17:07:36:40,40.047054,-83.073509
1,19MAY17:07:36:41,40.047058,-83.073502
1,19MAY17:07:36:42,40.047066,-83.073479
1,19MAY17:07:36:43,40.047085,-83.073479
1,19MAY17:07:36:44,40.047089,-83.073471
1,19MAY17:07:36:45,40.047089,-83.073479
1,19MAY17:07:36:46,40.047096,-83.073486
1,19MAY17:07:36:47,40.047092,-83.073494
1,19MAY17:07:36:48,40.047092,-83.073502
1,19MAY17:07:36:49,40.047104,-83.073509
