Vehicle,Days,Distance,HardBrakes,HardAccelerations,NightTime_Pct,VehicleType,Loss
1,365,13114,152,56,0.005,SUV,0
2,365,18707,147,1,0.01,SUV,0
3,365,16659,151,127,0.019,Truck,0
4,365,13330,126,147,0,SUV,1
5,365,22533,10,11,0.001,Truck,0
6,365,16212,25,227,0.006,Truck,0
7,365,18050,26,54,0,Car,1
8,365,17689,75,210,0,SUV,0
9,365,14978,124,5,0.021,Car,0
10,365,7034,116,23,0.003,Car,0
11,365,16008,116,92,0,SUV,1
12,365,11452,1,9,0.023,Minivan,0
13,365,8365,44,48,0.127,Car,0
14,365,20077,117,60,0.003,Car,0
15,365,11748,12,1,0.006,Car,0
16,365,12923,108,62,0.003,Car,0
17,365,10003,122,3,0.001,Car,0
18,365,19172,51,62,0.072,Truck,0
19,365,16342,618,213,0.001,SUV,0
20,365,7798,2,1,0.039,Car,0
21,365,8931,88,82,0.044,Car,0
22,365,14607,64,65,0.076,Car,0
23,365,20845,39,260,0.018,SUV,0
24,365,10836,1,284,0.013,Car,0
25,365,17462,806,66,0.001,Minivan,0
26,365,15829,285,74,0.001,Truck,0
27,365,7289,6,63,0.099,Minivan,1
28,365,6061,55,234,0.094,SUV,0
29,365,18156,146,330,0.002,Truck,0
30,365,13259,355,6,0,Truck,0
31,365,12918,143,137,0.055,Truck,0
32,365,19370,17,94,0.003,Truck,0
33,365,18141,452,12,0.009,SUV,0
34,365,9940,1,8,0.004,SUV,0
35,365,11642,598,4,0.052,Minivan,0
36,365,10366,157,162,0.094,Truck,0
37,365,17431,162,25,0,SUV,0
38,365,13452,26,64,0.177,Car,0
39,365,17755,232,15,0.018,SUV,0
40,365,10663,143,15,0.019,Truck,0
41,365,13589,109,47,0.001,Truck,0
42,365,12808,113,31,0.068,Minivan,0
43,365,11710,205,53,0.021,SUV,1
44,365,15678,291,21,0.001,Truck,0
45,365,15849,230,25,0.121,Truck,0
46,365,15572,75,37,0,Truck,1
47,365,11536,24,137,0.134,Truck,0
48,365,11386,263,23,0.133,Truck,0
49,365,7308,42,22,0.022,Truck,0
50,365,7508,21,5,0.005,Car,0
51,365,17543,121,203,0,Car,0
